label,subject,body
legitimate,Notes from today's meeting,"Attached are the notes from today's planning meeting. Please review the action items and let me know if I missed anything. We will follow up on progress at next week's meeting."
legitimate,Happy birthday!,"Happy birthday! Hope you have a wonderful day filled with good food and great company. Let's catch up for coffee sometime next week if you are free."
legitimate,Weekly newsletter,"Here is this week's roundup of company news, including the new office opening and updates from the engineering and marketing teams. Read more on the internal blog when you get a chance."
legitimate,Question about the report,"Hi, I had a quick question about the quarterly report you sent over. Could you clarify the numbers in the third section? Happy to hop on a call if that is easier to discuss."
legitimate,Feedback on the draft,"Thanks for sharing the draft. Overall it reads really well. I left a couple of comments in the document about the introduction section, nothing major to worry about."
legitimate,Conference registration confirmation,"Thank you for registering for the annual conference. Your registration is confirmed for the sessions you selected. A detailed agenda will be sent closer to the event date."
legitimate,Can you review this document,"Hi, could you take a look at the attached document when you have a chance and share any thoughts? No rush, sometime this week would be great. Thanks in advance for your help."
legitimate,Family dinner this weekend,"Hey, are you free for family dinner this weekend? Mom wants to try that new recipe she found. Let us know if Saturday or Sunday works better for you and the kids."
legitimate,Course syllabus update,"Hello students, the syllabus has been updated with the revised assignment due dates for this semester. Please check the course page for the latest version and reach out with questions."
legitimate,Thanks for your help yesterday,"Just wanted to say thanks again for helping me sort out the presentation yesterday. It really made a difference during the client meeting. Let me know if I can return the favor sometime."
legitimate,Office closed for holiday,"A reminder that the office will be closed next Monday for the public holiday. Normal operations will resume on Tuesday. Have a great long weekend everyone."
legitimate,Volunteer opportunity this weekend,"We are organizing a community clean-up event this Saturday morning and would love for you to join if you are available. Bring gloves and water, snacks will be provided."
legitimate,Book club selection for next month,"Our book club has selected a new novel for next month's discussion. Copies are available at the library front desk. Looking forward to a great discussion at our usual meeting time."
legitimate,Gym schedule change,"Please note that the Tuesday evening yoga class has moved to a different studio room starting next week. All other class times remain unchanged. See you on the mat."
legitimate,Recipe you asked about,"Here is the pasta recipe I mentioned at dinner last week. It is pretty simple, just garlic, olive oil, chili flakes, and fresh parsley tossed with the pasta. Let me know how it turns out."
legitimate,Quarterly performance review scheduled,"Your quarterly performance review has been scheduled for next Tuesday at 3pm in the main conference room. Please bring your self-assessment form completed ahead of the meeting."
